row_index,id_student,code_module,code_presentation,actual_at_risk,predicted_at_risk,risk_probability,risk_level,recommendations_json,clicks_week1_28d,clicks_week2_28d,clicks_week3_28d,clicks_week4_28d,weekly_click_slope_28d,active_days_28d,active_days_last7d,days_since_last_activity_28d,assessment_mean_score_28d,assessment_completion_rate_28d,assessments_missed_28d,engagement_direction
11,59185,AAA,2013J,0,0,0.283279192304583,Medium,"[{""factor"": ""low_recent_engagement"", ""recommendation"": ""Encourage a short, regular weekly study schedule and monitor activity over the next week."", ""reason"": ""Recent engagement is in the lower range observed in the development data.""}, {""factor"": ""declining_engagement"", ""recommendation"": ""Check for barriers causing declining engagement and agree on a recovery plan."", ""reason"": ""Weekly activity is trending downward across the first four weeks.""}]",75.0,238.0,32.0,26.0,-35.3,11.0,1.0,3.0,67.0,1.0,0.0,Declining
30,110175,AAA,2013J,0,0,0.1829044215757876,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",26.0,98.0,32.0,8.0,-12.0,11.0,2.0,4.0,66.0,1.0,0.0,Declining
31,111717,AAA,2013J,0,0,0.063449005684118,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",173.0,103.0,53.0,68.0,-36.5,17.0,5.0,1.0,80.0,1.0,0.0,Declining
33,114017,AAA,2013J,0,0,0.3110306948966302,Medium,"[{""factor"": ""recent_inactivity"", ""recommendation"": ""Use a supportive check-in to re-engage the student with current learning activities."", ""reason"": ""No recorded VLE activity for about 13 day(s) before the prediction point.""}, {""factor"": ""low_recent_engagement"", ""recommendation"": ""Encourage a short, regular weekly study schedule and monitor activity over the next week."", ""reason"": ""Recent engagement is in the lower range observed in the development data.""}, {""factor"": ""declining_engagement"", ""recommendation"": ""Check for barriers causing declining engagement and agree on a recovery plan."", ""reason"": ""Weekly activity is trending downward across the first four weeks.""}]",3.0,247.0,65.0,0.0,-19.1,8.0,0.0,13.0,66.0,1.0,0.0,Declining
34,114999,AAA,2013J,0,0,0.1191691189486894,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",43.0,36.0,50.0,72.0,10.1,15.0,4.0,3.0,74.0,1.0,0.0,Improving
37,118983,AAA,2013J,0,1,0.3280745899259976,High,"[{""factor"": ""recent_inactivity"", ""recommendation"": ""Use a supportive check-in to re-engage the student with current learning activities."", ""reason"": ""No recorded VLE activity for about 9 day(s) before the prediction point.""}, {""factor"": ""low_recent_engagement"", ""recommendation"": ""Encourage a short, regular weekly study schedule and monitor activity over the next week."", ""reason"": ""Recent engagement is in the lower range observed in the development data.""}]",0.0,10.0,41.0,0.0,3.1,6.0,0.0,9.0,73.0,1.0,0.0,Improving
38,123044,AAA,2013J,0,0,0.1771182230024927,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",246.0,88.0,133.0,167.0,-19.2,18.0,7.0,0.0,75.0,1.0,0.0,Declining
43,135335,AAA,2013J,1,1,0.7638316739102949,High,"[{""factor"": ""missed_assessments"", ""recommendation"": ""Review missed or overdue assessments and agree on a catch-up plan."", ""reason"": ""1 assessment(s) due in the observation window were not completed.""}]",1.0,12.0,31.0,11.0,4.9,9.0,3.0,4.0,,0.0,1.0,Improving
48,142326,AAA,2013J,0,0,0.188541956588593,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",10.0,127.0,80.0,55.0,8.8,10.0,3.0,0.0,65.0,1.0,0.0,Improving
49,144801,AAA,2013J,0,0,0.0843880419079003,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",184.0,202.0,417.0,157.0,13.4,27.0,5.0,2.0,61.0,1.0,0.0,Improving
52,147756,AAA,2013J,1,0,0.1299274486307323,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",82.0,73.0,131.0,9.0,-16.1,22.0,5.0,0.0,77.0,1.0,0.0,Declining
53,147793,AAA,2013J,1,1,0.7367278897126898,High,"[{""factor"": ""missed_assessments"", ""recommendation"": ""Review missed or overdue assessments and agree on a catch-up plan."", ""reason"": ""1 assessment(s) due in the observation window were not completed.""}, {""factor"": ""low_recent_engagement"", ""recommendation"": ""Encourage a short, regular weekly study schedule and monitor activity over the next week."", ""reason"": ""Recent engagement is in the lower range observed in the development data.""}]",0.0,0.0,0.0,2.0,0.6,2.0,1.0,4.0,,0.0,1.0,Improving
63,168936,AAA,2013J,0,0,0.3000738541302854,Medium,"[{""factor"": ""low_recent_engagement"", ""recommendation"": ""Encourage a short, regular weekly study schedule and monitor activity over the next week."", ""reason"": ""Recent engagement is in the lower range observed in the development data.""}]",40.0,56.0,153.0,23.0,4.6,10.0,1.0,0.0,76.0,1.0,0.0,Improving
65,172797,AAA,2013J,0,0,0.2918928345667262,Medium,"[{""factor"": ""low_early_assessment_score"", ""recommendation"": ""Schedule targeted academic review on the topics covered by the early assessments."", ""reason"": ""Early mean assessment score (60.0) is relatively low.""}]",0.0,25.0,75.0,8.0,7.4,7.0,2.0,0.0,60.0,1.0,0.0,Improving
76,186149,AAA,2013J,0,1,0.4800475351994961,High,"[{""factor"": ""missed_assessments"", ""recommendation"": ""Review missed or overdue assessments and agree on a catch-up plan."", ""reason"": ""1 assessment(s) due in the observation window were not completed.""}, {""factor"": ""low_recent_engagement"", ""recommendation"": ""Encourage a short, regular weekly study schedule and monitor activity over the next week."", ""reason"": ""Recent engagement is in the lower range observed in the development data.""}, {""factor"": ""declining_engagement"", ""recommendation"": ""Check for barriers causing declining engagement and agree on a recovery plan."", ""reason"": ""Weekly activity is trending downward across the first four weeks.""}]",114.0,220.0,42.0,26.0,-44.2,17.0,1.0,3.0,,0.0,1.0,Declining
82,200860,AAA,2013J,0,0,0.2407755870109662,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",37.0,129.0,12.0,32.0,-13.2,15.0,4.0,1.0,69.0,1.0,0.0,Declining
85,205719,AAA,2013J,1,1,0.3236255437564237,High,"[{""factor"": ""low_recent_engagement"", ""recommendation"": ""Encourage a short, regular weekly study schedule and monitor activity over the next week."", ""reason"": ""Recent engagement is in the lower range observed in the development data.""}]",17.0,66.0,137.0,1.0,2.3,9.0,1.0,4.0,67.0,1.0,0.0,Improving
88,228082,AAA,2013J,0,1,0.372021067352554,High,"[{""factor"": ""low_early_assessment_score"", ""recommendation"": ""Schedule targeted academic review on the topics covered by the early assessments."", ""reason"": ""Early mean assessment score (58.0) is relatively low.""}, {""factor"": ""recent_inactivity"", ""recommendation"": ""Use a supportive check-in to re-engage the student with current learning activities."", ""reason"": ""No recorded VLE activity for about 8 day(s) before the prediction point.""}, {""factor"": ""low_recent_engagement"", ""recommendation"": ""Encourage a short, regular weekly study schedule and monitor activity over the next week."", ""reason"": ""Recent engagement is in the lower range observed in the development data.""}]",5.0,34.0,31.0,0.0,-1.8,7.0,0.0,8.0,58.0,1.0,0.0,Declining
91,229361,AAA,2013J,0,0,0.1071082003331325,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",30.0,24.0,56.0,36.0,5.0,18.0,6.0,0.0,81.0,1.0,0.0,Improving
99,241729,AAA,2013J,1,0,0.281580276592299,Medium,"[{""factor"": ""low_early_assessment_score"", ""recommendation"": ""Schedule targeted academic review on the topics covered by the early assessments."", ""reason"": ""Early mean assessment score (51.0) is relatively low.""}, {""factor"": ""low_recent_engagement"", ""recommendation"": ""Encourage a short, regular weekly study schedule and monitor activity over the next week."", ""reason"": ""Recent engagement is in the lower range observed in the development data.""}]",29.0,81.0,79.0,66.0,10.9,14.0,1.0,4.0,51.0,1.0,0.0,Improving
103,255548,AAA,2013J,0,0,0.1405791805213221,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",196.0,154.0,282.0,107.0,-13.9,27.0,6.0,1.0,84.0,1.0,0.0,Declining
107,260355,AAA,2013J,1,1,0.443369700168692,High,"[{""factor"": ""low_early_assessment_score"", ""recommendation"": ""Schedule targeted academic review on the topics covered by the early assessments."", ""reason"": ""Early mean assessment score (55.0) is relatively low.""}]",55.0,0.0,14.0,61.0,3.2,7.0,2.0,2.0,55.0,1.0,0.0,Improving
109,262934,AAA,2013J,0,0,0.0786974380858266,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",177.0,216.0,142.0,127.0,-22.4,20.0,6.0,0.0,81.0,1.0,0.0,Declining
111,268733,AAA,2013J,1,1,0.671212381282275,High,"[{""factor"": ""missed_assessments"", ""recommendation"": ""Review missed or overdue assessments and agree on a catch-up plan."", ""reason"": ""1 assessment(s) due in the observation window were not completed.""}]",41.0,8.0,0.0,56.0,3.7,4.0,2.0,4.0,,0.0,1.0,Improving
112,271251,AAA,2013J,0,0,0.1045483499353101,Low,"[{""factor"": ""monitor"", ""recommendation"": ""Continue routine monitoring and reinforce current study habits."", ""reason"": ""Calibrated risk is below the low-risk boundary; low risk is relative and does not guarantee success.""}]",124.0,323.0,120.0,154.0,-11.3,24.0,5.0,2.0,80.0,1.0,0.0,Declining
114,279572,AAA,2013J,0,0,0.2929183176104958,Medium,"[{""factor"": ""recent_inactivity"", ""recommendation"": ""Use a supportive check-in to re-engage the student with current learning activities."", ""reason"": ""No recorded VLE activity for about 12 day(s) before the prediction point.""}, {""factor"": ""low_recent_engagement"", ""recommendation"": ""Encourage a short, regular weekly study schedule and monitor activity over the next week."", ""reason"": ""Recent engagement is in the lower range observed in the development data.""}, {""factor"": ""declining_engagement"", ""recommendation"": ""Check for barriers causing declining engagement and agree on a recovery plan."", ""reason"": ""Weekly activity is trending downward across the first four weeks.""}]",113.0,29.0,65.0,0.0,-30.3,11.0,0.0,12.0,79.0,1.0,0.0,Declining
117,281589,AAA,2013J,1,1,0.7396938554966976,High,"[{""factor"": ""missed_assessments"", ""recommendation"": ""Review missed or overdue assessments and agree on a catch-up plan."", ""reason"": ""1 assessment(s) due in the observation window were not completed.""}, {""factor"": ""recent_inactivity"", ""recommendation"": ""Use a supportive check-in to re-engage the student with current learning activities."", ""reason"": ""No recorded VLE activity for about 15 day(s) before the prediction point.""}, {""factor"": ""low_recent_engagement"", ""recommendation"": ""Encourage a short, regular weekly study schedule and monitor activity over the next week."", ""reason"": ""Recent engagement is in the lower range observed in the development data.""}]",0.0,24.0,0.0,0.0,-2.4,2.0,0.0,15.0,,0.0,1.0,Declining
122,290757,AAA,2013J,0,0,0.2951010895565163,Medium,"[{""factor"": ""recent_inactivity"", ""recommendation"": ""Use a supportive check-in to re-engage the student with current learning activities."", ""reason"": ""No recorded VLE activity for about 10 day(s) before the prediction point.""}, {""factor"": ""low_recent_engagement"", ""recommendation"": ""Encourage a short, regular weekly study schedule and monitor activity over the next week."", ""reason"": ""Recent engagement is in the lower range observed in the development data.""}]",41.0,19.0,70.0,0.0,-7.2,5.0,0.0,10.0,75.0,1.0,0.0,Declining
132,305152,AAA,2013J,1,1,0.403576742607006,High,"[{""factor"": ""low_early_assessment_score"", ""recommendation"": ""Schedule targeted academic review on the topics covered by the early assessments."", ""reason"": ""Early mean assessment score (64.0) is relatively low.""}, {""factor"": ""recent_inactivity"", ""recommendation"": ""Use a supportive check-in to re-engage the student with current learning activities."", ""reason"": ""No recorded VLE activity for about 9 day(s) before the prediction point.""}, {""factor"": ""low_recent_engagement"", ""recommendation"": ""Encourage a short, regular weekly study schedule and monitor activity over the next week."", ""reason"": ""Recent engagement is in the lower range observed in the development data.""}]",0.0,26.0,76.0,0.0,5.0,4.0,0.0,9.0,64.0,1.0,0.0,Improving
